TransactionID,SaleDate,CustomerID,ProductID,StoreID,CampaignID,SaleAmount,LoyaltyPoints,PaymentType
550,2024-01-06,1008,102,404,0,39.1,39,Card
551,2024-01-06,1009,105,403,0,19.78,19,Digital
552,2024-01-16,1004,107,404,0,335.1,335,Digital
553,2024-01-16,1006,102,406,0,195.5,195,Card
554,2024-01-25,1005,102,405,0,117.3,117,Digital
555,2024-01-25,1001,101,401,0,2379.36,2379,Digital
556,2024-01-29,1009,104,403,0,172.4,172,Digital
557,2024-01-29,1010,101,402,0,3172.48,3172,Card
558,2024-02-06,1002,102,402,0,312.8,312,Card
559,2024-02-06,1001,106,401,0,622.86,622,Card
560,2024-02-06,1010,101,402,0,6344.96,6344,Card
561,2024-02-06,1005,107,405,0,469.14,469,Digital
562,2024-02-08,1003,108,403,0,12.56,12,Digital
563,2024-02-08,1006,107,406,0,67.02,67,Card
564,2024-02-09,1009,107,403,0,469.14,469,Digital
565,2024-02-09,1002,105,402,0,138.46,138,Digital
566,2024-02-24,1007,103,405,0,204.84,204,Cash
567,2024-02-24,1007,106,405,0,444.9,444,Digital
568,2024-02-24,1011,107,401,0,603.18,603,Cash
569,2024-02-24,1010,101,402,0,3965.6,3965,Cash
570,2024-02-27,1010,107,402,0,402.12,402,Card
571,2024-02-27,1011,106,401,0,533.88,533,Cash
572,2024-03-20,1005,105,405,0,178.02,178,Card
573,2024-03-20,1001,101,401,0,7138.08,7138,Digital
574,2024-03-25,1006,101,406,0,4758.72,4758,Cash
575,2024-03-25,1001,108,401,0,75.36,75,Digital
576,2024-04-07,1001,108,401,0,113.04,113,Cash
577,2024-04-07,1005,104,405,0,387.9,387,Digital
578,2024-04-10,1006,106,406,0,800.82,800,Card
579,2024-04-10,1008,106,404,0,800.82,800,Digital
580,2024-04-11,1004,103,404,0,22.76,22,Card
581,2024-04-11,1009,101,403,0,793.12,793,Cash
582,2024-04-19,1001,101,401,0,6344.96,6344,Digital
583,2024-04-19,1009,102,403,0,312.8,312,Digital
584,2024-04-27,1007,101,405,0,7138.08,7138,Card
585,2024-04-27,1002,108,402,0,113.04,113,Card
586,2024-04-30,1001,105,401,0,39.56,39,Card
587,2024-04-30,1007,102,405,0,78.2,78,Digital
588,2024-05-02,1002,102,402,0,117.3,117,Cash
589,2024-05-02,1007,102,405,0,117.3,117,Cash
590,2024-05-08,1005,107,405,1,603.18,603,Card
591,2024-05-08,1004,101,404,1,7138.08,7138,Card
592,2024-05-17,1006,107,406,1,670.2,670,Cash
593,2024-05-17,1008,104,404,1,431.0,431,Digital
594,2024-05-19,1003,101,403,1,1586.24,1586,Cash
595,2024-05-19,1006,108,406,1,25.12,25,Card
596,2024-05-29,1011,105,401,0,98.9,98,Cash
597,2024-05-29,1008,102,404,0,195.5,195,Card
598,2024-06-06,1001,104,401,0,387.9,387,Cash
599,2024-06-06,1004,102,404,0,351.9,351,Card
600,2024-06-12,1010,103,402,0,182.08,182,Digital
601,2024-06-12,1005,106,405,0,711.84,711,Cash
602,2024-06-17,1007,101,405,0,2379.36,2379,Digital
603,2024-06-17,1006,101,406,0,2379.36,2379,Cash
604,2024-06-20,1009,102,403,0,39.1,39,Cash
605,2024-06-20,1002,108,402,0,12.56,12,Cash
606,2024-07-02,1005,105,405,0,79.12,79,Card
607,2024-07-02,1011,108,401,0,50.24,50,Digital
608,2024-07-04,1003,102,403,0,39.1,39,Cash
609,2024-07-04,1004,101,404,0,3965.6,3965,Digital
610,2024-07-04,1010,106,402,0,88.98,88,Digital
611,2024-07-04,1006,102,406,0,195.5,195,Digital
612,2024-07-07,1003,104,403,2,258.6,258,Digital
613,2024-07-07,1003,104,403,2,258.6,258,Digital
614,2024-07-15,1011,101,401,2,7138.08,7138,Card
615,2024-07-15,1010,104,402,2,387.9,387,Cash
616,2024-07-17,1001,107,401,2,134.04,134,Digital
617,2024-07-17,1003,107,403,2,134.04,134,Card
618,2024-07-21,1001,104,401,2,172.4,172,Digital
619,2024-07-21,1008,105,404,2,79.12,79,Cash
620,2024-07-25,1007,108,405,0,125.6,125,Card
621,2024-07-25,1010,101,402,0,7931.2,7931,Digital
622,2024-08-01,1003,108,403,0,100.48,100,Digital
623,2024-08-01,1002,107,402,0,536.16,536,Card
624,2024-08-02,1011,108,401,0,125.6,125,Card
625,2024-08-02,1002,108,402,0,125.6,125,Digital
626,2024-08-05,1003,108,403,0,37.68,37,Card
627,2024-08-05,1006,104,406,0,129.3,129,Cash
628,2024-08-14,1011,107,401,0,201.06,201,Cash
629,2024-08-14,1006,101,406,0,2379.36,2379,Card
630,2024-08-21,1007,104,405,0,172.4,172,Cash
631,2024-08-21,1002,107,402,0,268.08,268,Card
632,2024-08-25,1006,108,406,0,75.36,75,Cash
633,2024-08-25,1002,104,402,0,258.6,258,Card
634,2024-08-28,1006,105,406,0,39.56,39,Card
635,2024-08-28,1005,106,405,0,177.96,177,Digital
636,2024-09-05,1005,107,405,3,1072.32,1072,Cash
637,2024-09-05,1007,107,405,3,1072.32,1072,Digital
638,2024-09-22,1001,101,401,3,6344.96,6344,Card
639,2024-09-22,1007,104,405,3,689.6,689,Digital
640,2024-09-30,1005,107,405,3,268.08,268,Cash
641,2024-09-30,1010,103,402,3,45.52,45,Digital
642,2024-10-10,1002,101,402,0,5551.84,5551,Digital
643,2024-10-10,1010,104,402,0,301.7,301,Card
